CASE_ENQUIRY_ID,OPEN_DT,CLOSED_DT,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,LATITUDE,LONGITUDE,Source
101000468152,08/22/2012 11:07:00 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,36 Rockvale Cir  Jamaica Plain  MA  02130,9,02,6,E13,Jamaica Plain,11,Ward 11,1107,R3,36 Rockvale Cir,02130,42.3071,-71.1047,Constituent Call
101000470689,08/28/2012 06:07:42 PM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,81-83 Millet St  Dorchester  MA  02124,8,07,4,B3,Dorchester,9,Ward 17,1703,R2,81-83 Millet St,02124,42.2937,-71.0772,Constituent Call
101001107915,06/12/2014 12:11:17 PM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,43-45 Jones Ave  Dorchester  MA  02124,8,07,4,B3,Greater Mattapan,9,Ward 14,1413,R1,43-45 Jones Ave,02124,42.2864,-71.0839,Constituent Call
101001133226,07/21/2014 09:01:05 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,568-570 Blue Hill Ave  Dorchester  MA  02121,7,03,4,B2,Greater Mattapan,13,Ward 14,1403,A,568-570 Blue Hill Ave,02121,42.3047,-71.0844,Constituent Call
101001077579,04/29/2014 09:00:25 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,4 Lorne St  Dorchester  MA  02124,8,07,4,B3,Greater Mattapan,9,Ward 14,1409,A,4 Lorne St,02124,42.2931,-71.0899,Constituent Call
101001160357,08/29/2014 03:46:34 PM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,394 Riverway  Boston  MA  02115,4,10A,8,B2,Mission Hill,14,Ward 10,1004,CD,394 Riverway,02115,42.3322,-71.1124,Constituent Call
101000469360,08/24/2012 11:17:19 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,28 Haviland St  Boston  MA  02115,4,10A,8,D4,Fenway / Kenmore / Audubon Circle / Longwood,14,Ward 4,406,RC,28 Haviland St,02115,42.3461,-71.089,Self Service
101000474248,09/05/2012 02:46:08 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,43-47 O St  South Boston  MA  02127,6,05,2,C6,South Boston / South Boston Waterfront,5,Ward 6,607,CM,43-47 O St,02127,42.3368,-71.0294,Constituent Call
101001161406,09/01/2014 10:57:03 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,29 Pratt St  Allston  MA  02134,11,04,9,D14,Allston / Brighton,15,Ward 21,2104,R2,29 Pratt St,02134,42.3548,-71.1287,Constituent Call
101001060116,04/03/2014 09:25:05 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,27 Priscilla Rd  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 21,2113,R2,27 Priscilla Rd,02135,42.3446,-71.1515,Constituent Call
101001123006,07/07/2014 03:18:09 PM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,231-233 Amory St  Jamaica Plain  MA  02130,9,02,6,E13,Jamaica Plain,11,Ward 11,1106,R2,231-233 Amory St,02130,42.3162,-71.1038,Constituent Call
101000471816,08/30/2012 10:22:44 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,101 Etna St  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 22,2203,R2,101 Etna St,02135,42.3524,-71.1485,Constituent Call
101001119288,07/01/2014 10:10:31 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,435 Quincy St  Dorchester  MA  02125,7,03,3,C11,Dorchester,8,Ward 15,1503,A,435 Quincy St,02125,42.3096,-71.0671,Constituent Call
101000826935,04/24/2013 12:02:06 PM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,64 Newfield St  West Roxbury  MA  02132,12,06,6,E5,West Roxbury,12,Ward 20,2017,R1,64 Newfield St,02132,42.2905,-71.1671,Constituent Call
101000379988,02/01/2012 02:26:41 PM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,252 Marlborough St  Boston  MA  02116,4,1C,8,D4,Back Bay,14,Ward 5,508,CM,252 Marlborough St,02116,42.3517,-71.0822,Constituent Call
101001152334,08/18/2014 12:58:48 PM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,11 Saint George St  Roxbury  MA  02118,4,1C,2,D4,South End,6,Ward 8,802,CM,11 Saint George St,02118,42.3382,-71.0721,Constituent Call
101001075397,04/25/2014 10:40:37 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,844 Dorchester Ave  Dorchester  MA  02125,6,03,2,C6,Dorchester,5,Ward 7,708,R3,844 Dorchester Ave,02125,42.322,-71.0566,Constituent Call
101000366696,12/21/2011 11:53:25 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,8 Barnes Ave  East Boston  MA  02128,1,09,1,A7,East Boston,1,Ward 1,112,R2,8 Barnes Ave,02128,42.3859,-71.0066,Constituent Call
101001143086,08/04/2014 02:10:46 PM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,390-394 Riverway   Boston  MA  02115,9,10A,8,B2,Mission Hill,14,10,1004,CM,390-394 Riverway,02115,42.3323,-71.1122,Constituent Call
101001123657,07/08/2014 10:36:47 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,235-237 Amory St  Jamaica Plain  MA  02130,9,02,6,E13,Jamaica Plain,11,Ward 11,1106,R2,235-237 Amory St,02130,42.316,-71.1038,Constituent Call
101000467567,08/21/2012 11:34:15 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,40-42 Cedar Lane Way  Boston  MA  02114,3,1B,8,A1,Beacon Hill,14,Ward 5,511,R2,40-42 Cedar Lane Way,02114,42.3583,-71.0702,Constituent Call
101001150848,08/15/2014 08:44:22 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,371-373 Dorchester St  South Boston  MA  02127,6,05,2,C6,South Boston / South Boston Waterfront,5,Ward 7,706,CM,371-373 Dorchester St,02127,42.3304,-71.0558,Constituent Call
101000470939,08/29/2012 08:25:31 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,20-22 Spaulding St  Dorchester  MA  02122,8,07,3,C11,Dorchester,7,Ward 16,1607,R2,20-22 Spaulding St,02122,42.2922,-71.055,Constituent Call
101001131647,07/18/2014 07:34:12 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,54 Granger St  Dorchester  MA  02122,7,03,3,C11,Dorchester,8,Ward 15,1506,R3,54 Granger St,02122,42.3027,-71.0575,Constituent Call
101001164261,09/04/2014 10:44:41 AM,,Open,Case Closed NOVIO: No Violation Found/No Cause,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,2 Bellflower St  Dorchester  MA  02125,6,03,2,C6,Dorchester,5,Ward 7,708,R1,2 Bellflower St,02125,42.3241,-71.0573,Constituent Call
101001154998,08/21/2014 02:22:13 PM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,74 E Brookline St  Roxbury  MA  02118,4,1C,2,D4,South End,6,Ward 8,801,R4,74 E Brookline St,02118,42.3378,-71.0701,Constituent Call
101000907761,08/21/2013 07:57:24 PM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,439 Shawmut Ave  Roxbury  MA  02118,4,1C,2,D4,South End,6,Ward 9,901,CM,439 Shawmut Ave,02118,42.3397,-71.0748,Constituent Call
101000314422,08/15/2011 12:33:07 PM,,Open,Case Closed NOVIO: No Violation Found/No Cause,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,98 Knoll St  Roslindale  MA  02131,9,06,5,E5,Roslindale,10,Ward 20,2001,R1,98 Knoll St,02131,42.2931,-71.1358,Constituent Call
101000473141,09/01/2012 07:33:09 PM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,7 Phillips St  Boston  MA  02114,3,1B,8,A1,Beacon Hill,14,Ward 5,504,CM,7 Phillips St,02114,42.3604,-71.0668,Constituent Call
101001136865,07/25/2014 09:50:22 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,15 Germania St  Jamaica Plain  MA  02130,9,02,6,E13,Jamaica Plain,11,Ward 11,1106,CM,15 Germania St,02130,42.3141,-71.1021,Constituent Call
101001078492,04/30/2014 09:45:37 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,85 Brunswick St  Dorchester  MA  02121,7,03,4,B2,Roxbury,13,Ward 14,1401,R3,85 Brunswick St,02121,42.3109,-71.0806,Constituent Call
101001156733,08/25/2014 11:38:47 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,16 Greendale Rd  Mattapan  MA  02126,8,07,4,B3,Greater Mattapan,9,Ward 14,1414,CM,16 Greendale Rd,02126,42.2853,-71.0942,Constituent Call
101001163700,09/03/2014 03:51:34 PM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,660 Morton St  Dorchester  MA  02124,8,07,4,B3,Greater Mattapan,9,Ward 14,1414,R3,660 Morton St,02124,42.2858,-71.0929,Constituent Call
101001119484,07/01/2014 12:23:37 PM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,143 Intervale St  Dorchester  MA  02121,7,03,4,B2,Roxbury,13,Ward 14,1401,R3,143 Intervale St,02121,42.3095,-71.0752,Constituent Call
101000384181,02/14/2012 10:40:14 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,25 Dennis St  Roxbury  MA  02119,7,03,7,B2,Roxbury,13,Ward 8,807,R1,25 Dennis St,02119,42.3227,-71.0753,Self Service
101001142898,08/04/2014 11:46:08 AM,,Open,Case Closed CLOSED: Closed/No Permit,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,19 Tip Top St  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 22,2204,R1,19 Tip Top St,02135,42.3507,-71.1705,Self Service
101001101289,06/02/2014 07:43:07 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,43 Jones Ave  Dorchester  MA  02124,8,07,4,B3,Greater Mattapan,9,Ward 14,1413,RL,43 Jones Ave,02124,42.2865,-71.0837,Constituent Call
101001105935,06/09/2014 02:11:45 PM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,297 Bolton St  South Boston  MA  02127,6,05,2,C6,South Boston / South Boston Waterfront,5,Ward 6,604,R1,297 Bolton St,02127,42.3368,-71.045,Constituent Call
101001162155,09/02/2014 11:11:23 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,0 E Brookline St  Roxbury  MA  02118,4,1C,2,D4,South End,6,Ward 8,802,CL,0 E Brookline St,02118,42.337,-71.0699,Constituent Call
101000427475,05/25/2012 10:11:09 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,215 Commonwealth Ave  Boston  MA  02116,4,1C,8,D4,Back Bay,14,Ward 5,508,CM,215 Commonwealth Ave,02116,42.3514,-71.0816,Constituent Call
101001161424,09/01/2014 11:26:39 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,37 Wallingford Rd  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 21,2113,R4,37 Wallingford Rd,02135,42.3427,-71.1508,Constituent Call
101000441697,06/26/2012 02:57:20 PM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,91 Gordon St  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 21,2109,A,91 Gordon St,02135,42.3497,-71.1402,Constituent Call
101001128820,07/15/2014 07:35:06 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,24 Winston Rd  Dorchester  MA  02124,8,07,4,B3,Greater Mattapan,9,Ward 14,1413,R1,24 Winston Rd,02124,42.2851,-71.0872,Constituent Call
101001066864,04/13/2014 06:08:13 PM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,690 Dorchester Ave  South Boston  MA  02127,6,05,2,C6,South Boston / South Boston Waterfront,5,Ward 7,707,CM,690 Dorchester Ave,02127,42.3267,-71.0567,Constituent Call
101001124787,07/09/2014 11:44:43 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,11 Treadway Rd  Dorchester  MA  02125,7,03,3,C11,Dorchester,7,Ward 13,1309,R3,11 Treadway Rd,02125,42.3134,-71.058,Constituent Call
101001106700,06/10/2014 02:48:41 PM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,164 Florence St  Roslindale  MA  02131,12,02,5,E5,Roslindale,10,Ward 19,1913,R2,164 Florence St,02131,42.2878,-71.1221,Constituent Call
101000437438,06/15/2012 03:42:16 PM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,1486-1490 Tremont St  Mission Hill  MA  02120,9,10A,8,B2,Mission Hill,14,Ward 10,1002,I,1486-1490 Tremont St,02120,42.3318,-71.0988,Constituent Call
101001158354,08/27/2014 10:26:35 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,64 Fisher Ave  Mission Hill  MA  02120,9,10A,8,B2,Mission Hill,14,Ward 10,1005,R3,64 Fisher Ave,02120,42.3276,-71.1026,Constituent Call
101001118741,06/30/2014 03:08:55 PM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,INTERSECTION of Coolidge Rd & Haskell St  Allston  MA,11,04,9,D14,Allston / Brighton,15,Ward 22,2201,,INTERSECTION Coolidge Rd & Haskell St,,42.3599,-71.1292,Constituent Call
101000469213,08/24/2012 09:14:42 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,18 Garden St  Boston  MA  02114,3,1B,8,A1,Beacon Hill,14,Ward 5,504,CD,18 Garden St,02114,42.3607,-71.0668,Constituent Call
101001079085,05/01/2014 07:33:43 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,9 Radnor Rd  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 22,2209,R2,9 Radnor Rd,02135,42.3405,-71.1587,Constituent Call
101001151623,08/16/2014 09:46:16 PM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,58 S Russell St  Boston  MA  02114,3,1B,1,A1,Beacon Hill,3,Ward 3,306,A,58 S Russell St,02114,42.3596,-71.0658,Constituent Call
101001023923,02/11/2014 10:58:07 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,27 Pasadena Rd  Dorchester  MA  02121,7,03,4,B2,Roxbury,13,Ward 14,1403,CM,27 Pasadena Rd,02121,42.3055,-71.0827,Constituent Call
101001149015,08/12/2014 07:11:23 PM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,93 Normandy St  Dorchester  MA  02121,7,03,4,B2,Roxbury,13,Ward 14,1401,R3,93 Normandy St,02121,42.3097,-71.0801,Constituent Call
101001159587,08/28/2014 04:28:22 PM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,87 E Brookline St  Roxbury  MA  02118,4,1C,2,D4,South End,6,Ward 8,802,CM,87 E Brookline St,02118,42.3374,-71.0701,Constituent Call
101001052789,03/24/2014 10:24:06 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,536-544 Centre St  Jamaica Plain  MA  02130,9,02,6,E13,Jamaica Plain,11,Ward 19,1905,C,536-544 Centre St,02130,42.3169,-71.1133,Constituent Call
101000370975,01/05/2012 12:39:06 PM,,Open,Case Closed NOVIO: No Violation Found/No Cause,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,INTERSECTION of Cenacle Rd & Lake St  Brighton  MA,11,04,9,D14,Allston / Brighton,15,Ward 22,2208,,INTERSECTION Cenacle Rd & Lake St,,42.3465,-71.162,Self Service
101001155753,08/22/2014 03:23:24 PM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,93 Burrell St  Roxbury  MA  02119,7,03,7,B2,Roxbury,13,Ward 8,806,RC,93 Burrell St,02119,42.3236,-71.0682,Constituent Call
101000465516,08/16/2012 11:56:26 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,76 Hancock St  Dorchester  MA  02125,7,03,7,C11,Dorchester,13,Ward 13,1305,R3,76 Hancock St,02125,42.3131,-71.0647,Constituent Call
101000435628,06/12/2012 01:21:49 PM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,19 Wallingford Rd  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 21,2113,R1,19 Wallingford Rd,02135,42.3417,-71.1513,Constituent Call
101001103599,06/05/2014 07:27:23 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,348 Bowdoin St  Dorchester  MA  02125,7,03,3,C11,Dorchester,8,Ward 15,1504,CM,348 Bowdoin St,02125,42.3088,-71.0647,Constituent Call
101001124034,07/08/2014 02:18:26 PM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,61 Beach St  Boston  MA  02111,4,1C,2,A1,Downtown / Financial District,4,Ward 3,308,RC,61 Beach St,02111,42.3511,-71.0602,Constituent Call
101001099571,05/29/2014 11:06:02 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,66 Phillips St  Boston  MA  02114,3,1B,8,A1,Beacon Hill,14,Ward 5,504,R3,66 Phillips St,02114,42.3602,-71.069,Constituent Call
